precision,recall
0.1336322869955157,1.0
0.13375224416517056,1.0
0.13387241689128482,1.0
0.13399280575539568,1.0
0.1341134113411341,1.0
0.13423423423423422,1.0
0.13435527502254282,1.0
0.13447653429602888,1.0
0.13459801264679314,1.0
0.13471971066907776,1.0
0.134841628959276,1.0
0.13496376811594202,1.0
0.13508612873980055,1.0
0.13520871143375682,1.0
0.13533151680290645,1.0
0.13570127504553733,1.0
0.1358249772105743,1.0
0.13594890510948904,1.0
0.13607305936073058,1.0
0.13619744058500913,1.0
0.13632204940530648,1.0
0.13644688644688643,1.0
0.13657195233730524,1.0
0.13669724770642203,1.0
0.13682277318640956,1.0
0.13694852941176472,1.0
0.13707451701931922,1.0
0.13720073664825047,1.0
0.13732718894009216,1.0
0.13745387453874539,1.0
0.13758079409048937,1.0
0.1377079482439926,1.0
0.13783533765032377,1.0
0.13796296296296295,1.0
0.1380908248378128,1.0
0.13821892393320964,1.0
0.13834726090993502,1.0
0.13847583643122677,1.0
0.1386046511627907,1.0
0.1387337057728119,1.0
0.13886300093196646,1.0
0.13899253731343283,1.0
0.13912231559290383,1.0
0.13925233644859814,1.0
0.13938260056127222,1.0
0.13951310861423222,1.0
0.13964386129334583,1.0
0.1397748592870544,1.0
0.13990610328638498,1.0
0.1400375939849624,1.0
0.14016933207902163,1.0
0.14030131826741996,1.0
0.14043355325164938,1.0
0.14056603773584905,1.0
0.14069877242681775,1.0
0.14083175803402648,1.0
0.14096499526963102,1.0
0.14109848484848486,1.0
0.14123222748815165,1.0
0.1413662239089184,1.0
0.14150047483380818,1.0
0.14163498098859315,1.0
0.14176974310180782,1.0
0.1419047619047619,1.0
0.14204003813155386,1.0
0.14217557251908397,1.0
0.14231136580706782,1.0
0.14244741873804972,1.0
0.14258373205741626,1.0
0.14272030651340997,1.0
0.14285714285714285,1.0
0.14299424184261036,1.0
0.1431316042267051,1.0
0.14326923076923076,1.0
0.14340712223291627,1.0
0.14354527938342967,1.0
0.14368370298939248,1.0
0.1438223938223938,1.0
0.14396135265700483,1.0
0.14410058027079303,1.0
0.1442400774443369,1.0
0.14437984496124032,1.0
0.14451988360814744,1.0
0.14466019417475728,1.0
0.14480077745383868,1.0
0.14494163424124515,1.0
0.1450827653359299,1.0
0.145224171539961,1.0
0.14536585365853658,1.0
0.1455078125,1.0
0.14565004887585534,1.0
0.14579256360078277,1.0
0.14593535749265427,1.0
0.14607843137254903,1.0
0.14622178606476938,1.0
0.14636542239685657,1.0
0.14650934119960668,1.0
0.1466535433070866,1.0
0.14679802955665025,1.0
0.14694280078895464,1.0
0.14708785784797632,1.0
0.14723320158102768,1.0
0.14737883283877348,1.0
0.14752475247524752,1.0
0.14767096134786917,1.0
0.14781746031746032,1.0
0.14796425024826215,1.0
0.1481113320079523,1.0
0.1482587064676617,1.0
0.14840637450199204,1.0
0.1485543369890329,1.0
0.14870259481037923,1.0
0.14885114885114886,1.0
0.149,1.0
0.14914914914914915,1.0
0.1492985971943888,1.0
0.14944834503510532,1.0
0.1495983935742972,1.0
0.14974874371859295,1.0
0.14989939637826963,1.0
0.1500503524672709,1.0
0.1502016129032258,1.0
0.1503531786074672,1.0
0.1505050505050505,1.0
0.1506572295247725,1.0
0.1508097165991903,1.0
0.15096251266464034,1.0
0.1511156186612576,1.0
0.15126903553299492,1.0
0.15142276422764228,1.0
0.1515768056968464,1.0
0.15173116089613034,1.0
0.15188583078491336,1.0
0.1520408163265306,1.0
0.15219611848825332,1.0
0.1523517382413088,1.0
0.15250767656090072,1.0
0.1526639344262295,1.0
0.15282051282051282,1.0
0.15297741273100615,1.0
0.15313463514902365,1.0
0.15329218106995884,1.0
0.15345005149330587,1.0
0.15360824742268042,1.0
0.15376676986584106,1.0
0.15392561983471073,1.0
