fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006711409395973154,0.9991517808076725
0.0,0.053691275167785234,0.9971253160161769
0.0,0.06711409395973154,0.9970991923193918
0.0,0.18791946308724833,0.9864145887541867
0.0,0.20134228187919462,0.9852481530430275
0.0,0.3087248322147651,0.9649993047899076
0.0,0.3221476510067114,0.9642051949869765
0.0,0.348993288590604,0.9569575591695456
0.0,0.3624161073825503,0.9551422987788182
0.0,0.3825503355704698,0.9442045252355752
0.0,0.40268456375838924,0.942074395435607
0.0,0.4899328859060403,0.8916213291759231
0.0,0.5100671140939598,0.8880888951890521
0.0,0.7718120805369127,0.3788089150065129
0.0010351966873706005,0.7718120805369127,0.3735119159688486
0.0010351966873706005,0.8120805369127517,0.23633033457862848
0.003105590062111801,0.8120805369127517,0.2078174314897524
0.003105590062111801,0.8523489932885906,0.17984839333019215
0.004140786749482402,0.8523489932885906,0.17087965463316118
0.004140786749482402,0.8590604026845637,0.15248210530600811
0.005175983436853002,0.8590604026845637,0.14040826339998277
0.005175983436853002,0.8657718120805369,0.13959116063748042
0.006211180124223602,0.8657718120805369,0.1385440701921003
0.010351966873706004,0.87248322147651,0.13417096701817355
0.011387163561076604,0.87248322147651,0.13111403449180847
0.011387163561076604,0.8791946308724832,0.1219745115235999
0.013457556935817806,0.8791946308724832,0.11707703819768397
0.013457556935817806,0.8859060402684564,0.1157218925476755
0.014492753623188406,0.8859060402684564,0.1129696972213249
0.014492753623188406,0.8926174496644296,0.10752639714521621
0.016563146997929608,0.8926174496644296,0.10535505808705334
0.016563146997929608,0.8993288590604027,0.10416554271345636
0.017598343685300208,0.8993288590604027,0.10246776096086353
0.017598343685300208,0.9060402684563759,0.10201946531988684
0.020703933747412008,0.9060402684563759,0.09808563577703706
0.020703933747412008,0.912751677852349,0.09766224260088928
0.021739130434782608,0.912751677852349,0.09571222532132974
0.021739130434782608,0.9194630872483222,0.09082692147073812
0.022774327122153208,0.9194630872483222,0.09039798948231209
0.022774327122153208,0.9261744966442953,0.08838507705216624
0.026915113871635612,0.9261744966442953,0.08485858264618784
0.026915113871635612,0.9328859060402684,0.08391750754352004
0.031055900621118012,0.9328859060402684,0.07548559153941706
0.033126293995859216,0.9328859060402684,0.07505516744342196
0.037267080745341616,0.9328859060402684,0.06720129252076133
0.037267080745341616,0.9395973154362416,0.0670200938991946
0.053830227743271224,0.9395973154362416,0.05214437362899929
0.053830227743271224,0.9463087248322147,0.05189866568443112
0.06832298136645963,0.9463087248322147,0.04403968172797126
0.07039337474120083,0.9463087248322147,0.04395778459115617
0.07971014492753623,0.9463087248322147,0.03951354597502391
0.08178053830227744,0.9463087248322147,0.03941163772620708
0.11904761904761904,0.9463087248322147,0.029981316412078393
0.12111801242236025,0.9463087248322147,0.029809607094418735
0.14182194616977226,0.9463087248322147,0.025900246004446882
0.14182194616977226,0.9530201342281879,0.0257998003985049
0.17908902691511386,0.9530201342281879,0.021168067318388377
0.17908902691511386,0.959731543624161,0.021165287864022258
0.18840579710144928,0.959731543624161,0.020021190961665988
0.19047619047619047,0.959731543624161,0.0199387848726654
0.26811594202898553,0.959731543624161,0.014207919299541103
0.2701863354037267,0.959731543624161,0.014116481938706576
0.2722567287784679,0.959731543624161,0.014081851671251666
0.2722567287784679,0.9664429530201343,0.01406853414969049
0.2815734989648033,0.9664429530201343,0.01345097408345742
0.2836438923395445,0.9664429530201343,0.013402110209208049
0.2867494824016563,0.9664429530201343,0.013249611239738734
0.2888198757763975,0.9664429530201343,0.013202753677609006
0.30952380952380953,0.9664429530201343,0.012084902312675028
0.3115942028985507,0.9664429530201343,0.012080627874553471
0.3146997929606625,0.9664429530201343,0.01199973356167618
0.3146997929606625,0.9731543624161074,0.011975811982803583
0.32401656314699795,0.9731543624161074,0.011657110488402816
0.32608695652173914,0.9731543624161074,0.01163448292562182
0.42028985507246375,0.9731543624161074,0.008580098894224128
0.42028985507246375,0.9798657718120806,0.00857168273273539
0.4306418219461698,0.9798657718120806,0.00828917086297819
0.432712215320911,0.9798657718120806,0.008278482306706239
0.4389233954451346,0.9798657718120806,0.008142796291091655
0.4389233954451346,0.9865771812080537,0.00812307934117636
0.45445134575569357,0.9865771812080537,0.007724362094267435
0.458592132505176,0.9865771812080537,0.007686512382404635
0.5031055900621118,0.9865771812080537,0.006673890268680917
0.5062111801242236,0.9865771812080537,0.00663375064996511
0.6666666666666666,0.9865771812080537,0.0038151116242896225
0.6666666666666666,0.9932885906040269,0.0037943724954481606
0.6770186335403726,0.9932885906040269,0.0036655641982540365
0.6790890269151139,0.9932885906040269,0.003660402851084995
0.7360248447204969,0.9932885906040269,0.00290288274487719
0.7380952380952381,0.9932885906040269,0.0028966729761890396
0.7546583850931677,0.9932885906040269,0.0027006461858913333
0.7546583850931677,1.0,0.0026937008217898183
0.8178053830227743,1.0,0.001951446988495835
0.8198757763975155,1.0,0.0019514202230882839
0.8747412008281573,1.0,0.001490177966184164
0.8768115942028986,1.0,0.001482557847924754
0.9544513457556936,1.0,0.0006341048398072331
0.9616977225672878,1.0,0.0006175607433229739
1.0,1.0,5.795081646379705e-05
