fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006711409395973154,0.9931209229494191
0.0,0.08053691275167785,0.9633879275526881
0.0,0.09395973154362416,0.9633812742791286
0.0,0.1342281879194631,0.9575377043290503
0.0,0.15436241610738255,0.9574589629369896
0.0,0.37583892617449666,0.9297049314931796
0.0,0.38926174496644295,0.9286488132162628
0.0,0.4429530201342282,0.9193640542434095
0.0,0.4563758389261745,0.918731480206398
0.0,0.5033557046979866,0.9034266345576359
0.0,0.5167785234899329,0.9014525019906092
0.0,0.5570469798657718,0.8930602810816853
0.0,0.5771812080536913,0.8927104314338642
0.0,0.738255033557047,0.8502935354271222
0.0010351966873706005,0.738255033557047,0.8489057090967348
0.0010351966873706005,0.9060402684563759,0.6541743137409363
0.003105590062111801,0.9060402684563759,0.6312641192630014
0.003105590062111801,0.9194630872483222,0.5872647050801948
0.006211180124223602,0.9194630872483222,0.5189489789778663
0.006211180124223602,0.9261744966442953,0.5180477472730782
0.007246376811594203,0.9261744966442953,0.515099562945578
0.007246376811594203,0.9328859060402684,0.5007060618998167
0.010351966873706004,0.9328859060402684,0.4678978824723088
0.010351966873706004,0.9395973154362416,0.4537194812391124
0.018633540372670808,0.9395973154362416,0.42559184063792155
0.018633540372670808,0.9463087248322147,0.42328728582582625
0.021739130434782608,0.9463087248322147,0.41465314480466214
0.021739130434782608,0.9530201342281879,0.4092545012483285
0.033126293995859216,0.9530201342281879,0.3527971294324596
0.035196687370600416,0.9530201342281879,0.3516287825677391
0.047619047619047616,0.9530201342281879,0.3163413893820371
0.047619047619047616,0.959731543624161,0.3155653162647576
0.061076604554865424,0.959731543624161,0.28397472089258696
0.061076604554865424,0.9664429530201343,0.2820131519825252
0.07453416149068323,0.9664429530201343,0.25051935449430585
0.07453416149068323,0.9731543624161074,0.2492507946612372
0.12318840579710146,0.9731543624161074,0.20864817562353716
0.12318840579710146,0.9798657718120806,0.20824468386429398
0.15217391304347827,0.9798657718120806,0.18978527331747283
0.15631469979296067,0.9865771812080537,0.18972042925877033
0.23395445134575568,0.9865771812080537,0.15927155225807738
0.2360248447204969,0.9865771812080537,0.1590438740417042
0.3064182194616977,0.9865771812080537,0.14134881953894493
0.3064182194616977,0.9932885906040269,0.14130682609545817
0.33126293995859213,0.9932885906040269,0.13526744777117725
0.3333333333333333,0.9932885906040269,0.13521477749758132
0.37991718426501037,0.9932885906040269,0.12616295643272715
0.38198757763975155,0.9932885906040269,0.12615861396580663
0.38716356107660455,0.9932885906040269,0.125319326825139
0.38923395445134573,0.9932885906040269,0.12520896477535515
0.3944099378881988,0.9932885906040269,0.1246749792087192
0.39648033126293997,0.9932885906040269,0.12464391372835502
0.4192546583850932,0.9932885906040269,0.1200070209953193
0.42132505175983437,0.9932885906040269,0.11999879531264454
0.4254658385093168,0.9932885906040269,0.11886419482878106
0.427536231884058,0.9932885906040269,0.11885143822879392
0.4472049689440994,0.9932885906040269,0.11572256557572419
0.4492753623188406,0.9932885906040269,0.11560723249599598
0.4616977225672878,0.9932885906040269,0.11354836285266975
0.463768115942029,0.9932885906040269,0.11324053343511907
0.474120082815735,0.9932885906040269,0.11236866591585466
0.47619047619047616,0.9932885906040269,0.11202687800083007
0.5093167701863354,0.9932885906040269,0.10771666145727127
0.5113871635610766,0.9932885906040269,0.10739659299714441
0.5134575569358178,0.9932885906040269,0.1073123441290601
0.515527950310559,0.9932885906040269,0.1067223742409757
0.5952380952380952,0.9932885906040269,0.0947490180044075
0.5973084886128365,0.9932885906040269,0.09469066236859638
0.6739130434782609,0.9932885906040269,0.08518870126892816
0.6759834368530021,0.9932885906040269,0.08512570815491495
0.6790890269151139,0.9932885906040269,0.08470735585472697
0.6790890269151139,1.0,0.08462562377654125
0.6884057971014492,1.0,0.08324121327900345
0.6956521739130435,1.0,0.08289665010078509
0.6977225672877847,1.0,0.08274018757307461
0.7080745341614907,1.0,0.08006665479995442
0.7101449275362319,1.0,0.08006656292254734
0.9824016563146998,1.0,0.031171038992367863
0.9855072463768116,1.0,0.03113083369371151
1.0,1.0,0.016768585183200634
